zone_id,zone_name,province,heritage_type,latitude,longitude,area_km2,cultural_value_score,ecological_sensitivity_score,flood_exposure,heat_exposure,drought_exposure,wildfire_exposure,storm_exposure,adaptive_capacity,monitoring_coverage,notes
CEPZ-001,Minjiang Upper Valley Cultural-Ecological Reserve,Sichuan,River valley settlements and forest mosaic,31.482,103.622,1840,88,82,72,48,54,35,42,58,52,Steep valley settlements with flood and landslide sensitivity.
CEPZ-002,Dongting Lake Reed Wetland Heritage Zone,Hunan,Lake wetland and traditional fishing culture,29.302,112.886,2680,81,91,84,64,46,18,68,62,57,Seasonal flooding supports ecology but threatens low-lying heritage assets.
CEPZ-003,Tulou Mountain Agricultural Landscape,Fujian,Vernacular architecture and terrace agroecosystem,24.662,117.012,920,94,76,58,70,49,24,79,66,61,Storm exposure affects earthen buildings and access roads.
CEPZ-004,Hexi Corridor Oasis Heritage Belt,Gansu,Oasis agriculture and Silk Road cultural landscape,39.735,98.494,3120,86,79,22,76,88,31,28,49,44,Water scarcity and heat stress are dominant climate concerns.
CEPZ-005,Sanjiang Plain Wetland Farming Culture,Heilongjiang,Wetland ecology and farming heritage,47.322,133.214,3550,74,88,69,41,38,26,36,54,50,Drainage history and wetland restoration create mixed exposure pathways.
CEPZ-006,Lancang River Tea-Forest Cultural Landscape,Yunnan,Tea agroforestry and ethnic cultural landscape,22.842,100.978,1460,90,84,62,74,52,44,61,57,63,Heat, intense rainfall, and slope stability require integrated monitoring.
CEPZ-007,Loess Plateau Terrace Heritage Zone,Shaanxi,Terraced farming and soil conservation landscape,36.104,109.489,2380,79,73,44,69,82,21,33,52,47,Drought and erosion interact with terrace maintenance needs.
CEPZ-008,Qilian Mountain Pastoral Cultural-Ecological Zone,Qinghai,Pastoral culture and alpine ecosystem,37.824,100.253,4210,77,89,31,55,67,38,29,46,42,Alpine ecosystem sensitivity is high despite moderate direct hazard exposure.
CEPZ-009,Pearl River Delta Water-Town Heritage Cluster,Guangdong,Water-town heritage and delta ecosystem,22.915,113.432,760,92,71,91,83,45,16,86,71,69,Compound flood, heat, and typhoon exposure affect dense heritage settlements.
CEPZ-010,Wuyi Mountain Tea Cultural-Ecological Zone,Fujian,Tea heritage and subtropical forest ecosystem,27.755,118.035,1280,89,87,67,66,43,32,74,69,66,Forest and tea heritage assets face storm runoff and heat stress.
CEPZ-011,Tarim Basin Oasis Cultural Landscape,Xinjiang,Oasis settlements and desert-edge ecology,40.548,81.291,3890,83,78,18,82,94,22,24,43,39,Water scarcity, heat, and fragile oasis ecology drive screening priority.
CEPZ-012,Jiangnan Canal Heritage Wetland Zone,Jiangsu,Canal heritage and wetland-town landscape,31.512,120.681,640,91,69,77,81,42,14,72,73,70,High asset concentration and compound flood-heat exposure require asset-level review.
